HK17; test nb;Test Descripcion;degree;oa;ob;m;n;r;s;f;h;rA;rB;k1;k2
HK17;1;64-bits KEM - HK17-O-64 - 8-bits version;16;(148, 0, 242, 208, 65, 207, 212, 201);(1, 0, 111, 175, 128, 227, 145, 5);25;7;168;65;[(15, 15), (230, 14), (73, 13), (97, 12), (9, 11), (147, 10), (210, 9), (18, 8), (146, 7), (201, 6), (203, 5), (141, 4), (7, 3), (199, 2), (38, 1), (136, 0)];[(232, 15), (61, 14), (73, 13), (183, 12), (152, 11), (172, 10), (12, 9), (179, 8), (235, 7), (162, 6), (52, 5), (189, 4), (108, 3), (165, 2), (44, 1), (151, 0)];(176, 0, 80, 56, 193, 1, 125, 124);(91, 250, 177, 196, 102, 216, 147, 202);(124, 22, 5, 149, 107, 198, 24, 177);(124, 22, 5, 149, 107, 198, 24, 177)
HK17;2;64-bits KEM - HK17-O-64 - 8-bits version;16;(236, 100, 151, 40, 45, 193, 234, 73);(143, 67, 180, 10, 40, 36, 149, 232);216;234;237;251;[(217, 15), (107, 14), (10, 13), (38, 12), (230, 11), (114, 10), (9, 9), (47, 8), (22, 7), (27, 6), (153, 5), (27, 4), (180, 3), (235, 2), (166, 1), (151, 0)];[(209, 15), (201, 14), (206, 13), (154, 12), (10, 11), (249, 10), (177, 9), (102, 8), (54, 7), (149, 6), (121, 5), (244, 4), (141, 3), (66, 2), (92, 1), (72, 0)];(164, 14, 122, 170, 60, 142, 137, 46);(136, 59, 143, 18, 61, 221, 118, 18);(230, 70, 51, 41, 149, 124, 186, 0);(230, 70, 51, 41, 149, 124, 186, 0)
HK17;3;64-bits KEM - HK17-O-64 - 8-bits version;16;(189, 32, 37, 74, 114, 144, 32, 179);(178, 245, 137, 142, 75, 74, 54, 141);39;147;221;19;[(113, 15), (154, 14), (114, 13), (180, 12), (114, 11), (213, 10), (37, 9), (62, 8), (16, 7), (55, 6), (92, 5), (145, 4), (75, 3), (201, 2), (94, 1), (82, 0)];[(93, 15), (175, 14), (116, 13), (133, 12), (91, 11), (89, 10), (87, 9), (86, 8), (185, 7), (243, 6), (85, 5), (131, 4), (196, 3), (134, 2), (19, 1), (179, 0)];(97, 91, 36, 224, 18, 173, 34, 6);(12, 211, 139, 222, 69, 199, 29, 66);(131, 150, 82, 152, 200, 97, 152, 56);(131, 150, 82, 152, 200, 97, 152, 56)
HK17;4;64-bits KEM - HK17-O-64 - 8-bits version;16;(98, 207, 43, 234, 228, 31, 229, 62);(135, 15, 94, 2, 75, 176, 96, 221);53;103;113;38;[(151, 15), (223, 14), (115, 13), (237, 12), (27, 11), (127, 10), (60, 9), (80, 8), (97, 7), (199, 6), (192, 5), (139, 4), (129, 3), (76, 2), (58, 1), (65, 0)];[(75, 15), (206, 14), (27, 13), (13, 12), (231, 11), (61, 10), (189, 9), (23, 8), (100, 7), (219, 6), (244, 5), (91, 4), (147, 3), (196, 2), (230, 1), (175, 0)];(16, 133, 199, 125, 168, 216, 11, 212);(13, 236, 178, 166, 154, 248, 56, 35);(69, 158, 52, 170, 149, 185, 117, 46);(69, 158, 52, 170, 149, 185, 117, 46)
HK17;5;64-bits KEM - HK17-O-64 - 8-bits version;16;(8, 87, 210, 195, 230, 103, 250, 102);(73, 54, 182, 74, 195, 39, 127, 164);48;102;204;179;[(67, 15), (98, 14), (24, 13), (181, 12), (158, 11), (78, 10), (102, 9), (185, 8), (14, 7), (21, 6), (223, 5), (29, 4), (124, 3), (138, 2), (193, 1), (179, 0)];[(118, 15), (139, 14), (198, 13), (244, 12), (58, 11), (144, 10), (225, 9), (115, 8), (135, 7), (45, 6), (239, 5), (93, 4), (96, 3), (246, 2), (116, 1), (13, 0)];(10, 127, 201, 204, 30, 91, 114, 141);(164, 137, 94, 181, 183, 55, 37, 226);(207, 43, 81, 231, 78, 70, 135, 120);(207, 43, 81, 231, 78, 70, 135, 120)
HK17;6;64-bits KEM - HK17-O-64 - 8-bits version;16;(242, 231, 172, 7, 235, 208, 236, 110);(98, 101, 22, 236, 100, 184, 200, 176);68;122;15;214;[(221, 15), (178, 14), (11, 13), (193, 12), (247, 11), (6, 10), (140, 9), (183, 8), (134, 7), (188, 6), (33, 5), (94, 4), (230, 3), (129, 2), (222, 1), (166, 0)];[(131, 15), (93, 14), (144, 13), (31, 12), (239, 11), (88, 10), (79, 9), (155, 8), (97, 7), (218, 6), (35, 5), (37, 4), (128, 3), (173, 2), (249, 1), (192, 0)];(135, 216, 187, 166, 248, 185, 14, 174);(145, 240, 146, 156, 114, 32, 235, 69);(9, 177, 130, 37, 178, 233, 126, 74);(9, 177, 130, 37, 178, 233, 126, 74)
HK17;7;64-bits KEM - HK17-O-64 - 8-bits version;16;(8, 145, 145, 94, 56, 139, 230, 73);(7, 17, 57, 168, 173, 91, 112, 116);238;140;64;244;[(123, 15), (62, 14), (31, 13), (192, 12), (67, 11), (144, 10), (108, 9), (66, 8), (210, 7), (165, 6), (207, 5), (183, 4), (144, 3), (217, 2), (174, 1), (110, 0)];[(53, 15), (23, 14), (84, 13), (107, 12), (187, 11), (54, 10), (16, 9), (84, 8), (155, 7), (100, 6), (143, 5), (175, 4), (236, 3), (170, 2), (96, 1), (104, 0)];(88, 210, 25, 18, 54, 119, 59, 238);(147, 13, 101, 44, 117, 240, 193, 80);(91, 223, 226, 240, 111, 212, 127, 206);(91, 223, 226, 240, 111, 212, 127, 206)
HK17;8;64-bits KEM - HK17-O-64 - 8-bits version;16;(171, 7, 46, 216, 249, 13, 106, 107);(70, 153, 151, 197, 128, 97, 249, 169);48;141;227;122;[(200, 15), (75, 14), (196, 13), (18, 12), (84, 11), (218, 10), (13, 9), (126, 8), (81, 7), (91, 6), (241, 5), (222, 4), (31, 3), (83, 2), (215, 1), (123, 0)];[(83, 15), (199, 14), (167, 13), (131, 12), (70, 11), (212, 10), (138, 9), (107, 8), (68, 7), (115, 6), (32, 5), (145, 4), (37, 3), (88, 2), (156, 1), (30, 0)];(109, 2, 55, 189, 248, 176, 111, 109);(201, 51, 224, 84, 70, 211, 67, 12);(226, 63, 29, 77, 161, 93, 119, 219);(226, 63, 29, 77, 161, 93, 119, 219)
HK17;9;64-bits KEM - HK17-O-64 - 8-bits version;16;(79, 10, 186, 117, 178, 6, 147, 58);(47, 163, 76, 176, 80, 60, 145, 131);92;142;221;57;[(230, 15), (132, 14), (188, 13), (40, 12), (132, 11), (177, 10), (99, 9), (42, 8), (5, 7), (22, 6), (90, 5), (13, 4), (237, 3), (91, 2), (19, 1), (112, 0)];[(45, 15), (146, 14), (51, 13), (210, 12), (43, 11), (228, 10), (222, 9), (146, 8), (225, 7), (49, 6), (38, 5), (54, 4), (178, 3), (77, 2), (149, 1), (62, 0)];(221, 132, 25, 39, 221, 214, 45, 205);(59, 73, 47, 39, 84, 54, 132, 46);(137, 230, 57, 216, 183, 108, 184, 185);(137, 230, 57, 216, 183, 108, 184, 185)
HK17;10;64-bits KEM - HK17-O-64 - 8-bits version;16;(189, 122, 113, 83, 35, 91, 142, 157);(161, 22, 233, 233, 100, 197, 221, 141);224;208;138;109;[(163, 15), (40, 14), (64, 13), (133, 12), (98, 11), (54, 10), (237, 9), (218, 8), (121, 7), (142, 6), (222, 5), (137, 4), (49, 3), (86, 2), (134, 1), (246, 0)];[(216, 15), (143, 14), (229, 13), (83, 12), (234, 11), (163, 10), (131, 9), (120, 8), (246, 7), (129, 6), (47, 5), (22, 4), (115, 3), (190, 2), (190, 1), (56, 0)];(65, 109, 47, 70, 20, 39, 135, 160);(41, 197, 232, 1, 202, 234, 236, 200);(68, 123, 199, 84, 77, 240, 71, 208);(68, 123, 199, 84, 77, 240, 71, 208)
